date,cases_total,deaths_total,recovered_total,cases_new,deaths_new,recovered_new
1/22/20,557,17,30,0,0,0
1/23/20,657,18,32,100,1,2
1/24/20,944,26,39,287,8,7
1/25/20,1437,42,42,493,16,3
1/26/20,2120,56,56,683,14,14
1/27/20,2929,82,65,809,26,9
1/28/20,5580,131,108,2651,49,43
1/29/20,6169,133,127,589,2,19
1/30/20,8237,172,145,2068,39,18
1/31/20,9927,214,225,1690,42,80
2/1/20,12038,260,287,2111,46,62
2/2/20,16787,364,476,4749,104,189
2/3/20,19887,428,627,3100,64,151
2/4/20,23899,494,857,4012,66,230
2/5/20,27644,566,1130,3745,72,273
2/6/20,30806,636,1493,3162,70,363
2/7/20,34400,721,2016,3594,85,523
2/8/20,37131,808,2617,2731,87,601
2/9/20,40162,908,3247,3031,100,630
2/10/20,42771,1015,3949,2609,107,702
2/11/20,44814,1115,4684,2043,100,735
2/12/20,45232,1120,5151,418,5,467
2/13/20,60384,1373,6294,15152,253,1143
2/14/20,66912,1525,8061,6528,152,1767
2/15/20,69055,1668,9397,2143,143,1336
2/16/20,71238,1772,10867,2183,104,1470
2/17/20,73273,1870,12587,2035,98,1720
2/18/20,75155,2010,14352,1882,140,1765
2/19/20,75655,2125,16123,500,115,1771
2/20/20,76216,2250,18181,561,125,2058
2/21/20,76846,2254,18894,630,4,713
2/22/20,78608,2462,22892,1762,208,3998
2/23/20,78990,2473,23397,382,11,505
2/24/20,79558,2633,25229,568,160,1832
2/25/20,80412,2713,27907,854,80,2678
2/26/20,81384,2774,30388,972,61,2481
2/27/20,82728,2817,33282,1344,43,2894
2/28/20,84152,2876,36714,1424,59,3432
2/29/20,86023,2946,39785,1871,70,3071
3/1/20,88402,3000,42721,2379,54,2936
3/2/20,90382,3090,45605,1980,90,2884
3/3/20,92994,3164,48227,2612,74,2622
3/4/20,95338,3260,51170,2344,96,2943
3/5/20,98078,3355,53796,2740,95,2626
3/6/20,102062,3469,55864,3984,114,2068
3/7/20,106199,3573,58358,4137,104,2494
3/8/20,109997,3815,60695,3798,242,2337
3/9/20,114292,4009,62495,4295,194,1800
3/10/20,119051,4284,64402,4759,275,1907
3/11/20,126527,4636,66999,7476,352,2597
3/12/20,133283,4957,68328,6756,321,1329
3/13/20,146477,5460,70255,13194,503,1927
3/14/20,157365,5886,72622,10888,426,2367
3/15/20,168598,6557,76031,11233,671,3409
3/16/20,183165,7268,78086,14567,711,2055
3/17/20,198339,8119,80830,15174,851,2744
3/18/20,215900,9075,83317,17561,956,2487
3/19/20,242987,10217,84958,27087,1142,1641
3/20/20,272517,11791,87403,29530,1574,2445
3/21/20,304944,13599,91650,32427,1808,4247
3/22/20,339156,15427,97867,34212,1828,6217
3/23/20,381711,17523,98355,42555,2096,488
3/24/20,423594,19949,107974,41883,2426,9619
3/25/20,475075,22920,113753,51481,2971,5779
3/26/20,535889,26173,122125,60814,3253,8372
3/27/20,599820,29812,130910,63931,3639,8785
3/28/20,669402,33861,139421,69582,4049,8511
3/29/20,725918,37680,148877,56516,3819,9456
3/30/20,790929,42050,164213,65011,4370,15336
3/31/20,869371,47218,177803,78442,5168,13590
4/1/20,955728,53862,193075,86357,6644,15272
4/2/20,1038176,60115,210218,82448,6253,17143
4/3/20,1122386,66617,225640,84210,6502,15422
4/4/20,1182507,72976,246052,60121,6359,20412
4/5/20,1254222,78897,259888,71715,5921,13836
4/6/20,1328948,85324,276597,74726,6427,16709
4/7/20,1397886,93841,299859,68938,8517,23262
4/8/20,1480062,101061,328741,82176,7220,28882
4/9/20,1567243,109216,353995,87181,8155,25254
4/10/20,1653665,116957,375733,86422,7741,21738
4/11/20,1729180,123939,401983,75515,6982,26250
4/12/20,1847761,130453,421366,118581,6514,19383
4/13/20,1919593,136966,448623,71832,6513,27257
4/14/20,2004226,144323,473697,84633,7357,25074
4/15/20,2082482,153088,510236,78256,8765,36539
4/16/20,2176950,160800,541119,94468,7712,30883
4/17/20,2264830,169688,567303,87880,8888,26184
4/18/20,2343082,176118,591169,78252,6430,23866
4/19/20,2419404,182219,622952,76322,6101,31783
4/20/20,2495886,188730,645130,76482,6511,22178
4/21/20,2571973,195926,679932,76087,7196,34802
4/22/20,2654011,203205,710017,82038,7279,30085
4/23/20,2736728,210475,738747,82717,7270,28730
4/24/20,2820291,217313,788776,83563,6838,50029
4/25/20,2903496,223363,816531,83205,6050,27755
4/26/20,2974291,228179,845343,70795,4816,28812
4/27/20,3045275,233624,873227,70984,5445,27884
4/28/20,3121107,240253,906439,75832,6629,33212
4/29/20,3198435,247233,948516,77328,6980,42077
4/30/20,3282087,253486,1013632,83652,6253,65116
5/1/20,3371033,259073,1051789,88946,5587,38157
5/2/20,3449295,265119,1092440,78262,6046,40651
5/3/20,3523292,269394,1124973,73997,4275,32533
5/4/20,3600929,274239,1159059,77637,4845,34086
5/5/20,3680614,280386,1195532,79685,6147,36473
5/6/20,3771036,287146,1241651,90422,6760,46119
5/7/20,3860174,293012,1281176,89138,5866,39525
5/8/20,3950657,298967,1317589,90483,5955,36413
5/9/20,4035000,303885,1371030,84343,4918,53441
5/10/20,4110223,308223,1404839,75223,4338,33809
5/11/20,4186364,312301,1451724,76141,4078,46885
5/12/20,4271644,318031,1488766,85280,5730,37042
5/13/20,4355992,323468,1544638,84348,5437,55872
5/14/20,4451634,329217,1584349,95642,5749,39711
5/15/20,4547536,334970,1632452,95902,5753,48103
5/16/20,4641426,339511,1688863,93890,4541,56411
5/17/20,4719789,343391,1729871,78363,3880,41008
5/18/20,4808921,347786,1782787,89132,4395,52916
5/19/20,4904739,352754,1834839,95818,4968,52052
5/20/20,5010162,358160,1893809,105423,5406,58970
5/21/20,5116135,363195,1945029,105973,5035,51220
5/22/20,5223477,368901,2053576,107342,5706,108547
5/23/20,5327627,373355,2108410,104150,4454,54834
5/24/20,5420843,376755,2163937,93216,3400,55527
5/25/20,5509066,378449,2227666,88223,1694,63729
5/26/20,5601428,383229,2282818,92362,4780,55152
5/27/20,5703984,388449,2346145,102556,5220,63327
5/28/20,5823977,393440,2413008,119993,4991,66863
5/29/20,5945413,398596,2490273,121436,5156,77265
5/30/20,6080456,402955,2560723,135043,4359,70450
5/31/20,6183316,406242,2637107,102860,3287,76384
6/1/20,6283580,409983,2692032,100264,3741,54925
6/2/20,6406221,415254,2796144,122641,5271,104112
6/3/20,6517437,420875,2875235,111216,5621,79091
6/4/20,6655667,426403,2945305,138230,5528,70070
6/5/20,6789073,431460,3014470,133406,5057,69165
6/6/20,6918403,435600,3086674,129330,4140,72204
6/7/20,7029415,438857,3141783,111012,3257,55109
6/8/20,7132463,443312,3293394,103048,4455,151611
6/9/20,7258445,448357,3375664,125982,5045,82270
6/10/20,7395607,453783,3454835,137162,5426,79171
6/11/20,7531793,458920,3540714,136186,5137,85879
6/12/20,7659267,463663,3620434,127474,4743,79720
6/13/20,7793175,468056,3706326,133908,4393,85892
6/14/20,7925122,471838,3777145,131947,3782,70819
6/15/20,8050034,475905,3857420,124912,4067,80275
6/16/20,8193933,483023,3955283,143899,7118,97863
6/17/20,8337135,488500,4074114,143202,5477,118831
6/18/20,8480229,493854,4155277,143094,5354,81163
6/19/20,8661225,500212,4250267,180996,6358,94990
6/20/20,8847108,504694,4366121,185883,4482,115854
6/21/20,8940170,509338,4434807,93062,4644,68686
6/22/20,9082502,513205,4526440,142332,3867,91633
6/23/20,9250625,518774,4630495,168123,5569,104055
6/24/20,9422061,524272,4746246,171436,5498,115751
6/25/20,9601576,529382,4839130,179515,5110,92884
6/26/20,9794066,534465,4945110,192490,5083,105980
6/27/20,9970478,539201,5051396,176412,4736,106286
6/28/20,10138935,542822,5140599,168457,3621,89203
6/29/20,10291617,546894,5235170,152682,4072,94571
6/30/20,10475388,552146,5352510,183771,5252,117340
7/1/20,10690516,557487,5468424,215128,5341,115914
7/2/20,10895486,563001,5753358,204970,5514,284934
7/3/20,11098124,568241,5863246,202638,5240,109888
